"COLONY","ID","SPECIES","STAGE","TSECS","observedState","decodedState"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57146,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57147,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57148,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57149,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57150,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57151,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57152,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57153,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57154,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57155,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57156,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57157,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57158,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57159,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57160,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57161,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57162,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57163,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57164,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57165,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57166,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57167,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57168,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57169,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57170,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57171,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57172,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57173,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57174,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57175,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57176,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57177,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57178,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57179,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57180,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57181,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57182,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57183,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57184,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57185,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57186,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57187,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57188,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57189,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57190,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57191,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57192,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57193,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57194,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57195,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57196,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57197,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57198,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57199,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57200,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57201,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57202,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57203,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57204,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57205,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57206,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57207,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57208,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57209,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57210,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57211,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57212,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57213,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57214,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57215,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57216,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57217,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57218,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57219,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57220,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57221,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57222,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57223,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57224,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57225,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57226,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57227,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57228,"Foraging","Foraging"
