"COLONY","ID","SPECIES","STAGE","TSECS","observedState","decodedState"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37352,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37353,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37354,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37355,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37356,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37357,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37358,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37359,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37360,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37361,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37362,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37363,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37364,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37365,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37366,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37367,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37368,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37369,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37370,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37371,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37372,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37373,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37374,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37375,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37376,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37377,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37378,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37379,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37380,"Not-foraging","Not-foraging"
