"COLONY","DATE","ID","SPECIES","TSECS","LATITUDE","LONGITUDE","CONTBEH","observed_state","DISTKM","DIST2COL","Complete"
"Glas Eileanan","2011-06-20",2,"C",39754,56.49137,-5.68917,"TS","Travelling",0.01104,1626.24566,1
"Glas Eileanan","2011-06-20",2,"C",39755,56.49134,-5.68899,"TS","Travelling",0.01104,1637.3256,1
"Glas Eileanan","2011-06-20",2,"C",39756,56.49131,-5.68882,"TS","Travelling",0.01104,1648.40561,1
"Glas Eileanan","2011-06-20",2,"C",39757,56.49129,-5.68865,"TS","Travelling",0.01104,1659.48566,1
"Glas Eileanan","2011-06-20",2,"C",39758,56.49126,-5.68847,"TS","Travelling",0.01104,1670.56577,1
"Glas Eileanan","2011-06-20",2,"C",39759,56.49123,-5.6883,"TS","Travelling",0.01076,1681.64595,1
"Glas Eileanan","2011-06-20",2,"C",39760,56.4912,-5.68813,"TS","Travelling",0.01076,1692.44211,1
"Glas Eileanan","2011-06-20",2,"C",39761,56.49117,-5.68797,"TS","Travelling",0.01076,1703.2383,1
"Glas Eileanan","2011-06-20",2,"C",39762,56.49114,-5.6878,"TS","Travelling",0.01076,1714.03452,1
"Glas Eileanan","2011-06-20",2,"C",39763,56.49111,-5.68763,"TS","Travelling",0.01076,1724.83076,1
"Glas Eileanan","2011-06-20",2,"C",39764,56.49108,-5.68747,"TS","Travelling",0.01078,1735.62705,1
"Glas Eileanan","2011-06-20",2,"C",39765,56.49104,-5.68731,"TS","Travelling",0.01078,1746.35782,1
"Glas Eileanan","2011-06-20",2,"C",39766,56.491,-5.68715,"TS","Travelling",0.01078,1757.08968,1
"Glas Eileanan","2011-06-20",2,"C",39767,56.49096,-5.68699,"TS","Travelling",0.01078,1767.82259,1
"Glas Eileanan","2011-06-20",2,"C",39768,56.49092,-5.68683,"TS","Travelling",0.01078,1778.55653,1
"Glas Eileanan","2011-06-20",2,"C",39769,56.49088,-5.68667,"TS","Travelling",0.01094,1789.29148,1
