"ID","TSECS","SPECIES","LONGITUDE","LATITUDE","observed_behaviour","decState","Col_obState","Col_decState"
24,43001,"C",-5.46103,56.5151,"Travelling","Travelling","blue","blue"
24,43002,"C",-5.46117,56.51507,"Travelling","Travelling","blue","blue"
24,43003,"C",-5.4613,56.51504,"Travelling","Travelling","blue","blue"
24,43004,"C",-5.46143,56.51502,"Travelling","Travelling","blue","blue"
24,43005,"C",-5.46156,56.51498,"Travelling","Travelling","blue","blue"
24,43006,"C",-5.46169,56.51494,"Travelling","Travelling","blue","blue"
24,43007,"C",-5.46182,56.5149,"Travelling","Travelling","blue","blue"
24,43008,"C",-5.46194,56.51486,"Travelling","Travelling","blue","blue"
24,43009,"C",-5.46206,56.51482,"Travelling","Travelling","blue","blue"
24,43010,"C",-5.46218,56.51478,"Travelling","Travelling","blue","blue"
24,43011,"C",-5.46229,56.51473,"Travelling","Travelling","blue","blue"
24,43012,"C",-5.46241,56.51468,"Travelling","Travelling","blue","blue"
24,43013,"C",-5.46252,56.51463,"Travelling","Travelling","blue","blue"
24,43014,"C",-5.46261,56.51457,"Travelling","Travelling","blue","blue"
24,43015,"C",-5.46271,56.51451,"Travelling","Travelling","blue","blue"
24,43016,"C",-5.4628,56.51445,"Travelling","Travelling","blue","blue"
24,43017,"C",-5.46288,56.51438,"Travelling","Travelling","blue","blue"
24,43018,"C",-5.46297,56.51432,"Travelling","Travelling","blue","blue"
24,43019,"C",-5.46305,56.51425,"Travelling","Travelling","blue","blue"
24,43020,"C",-5.46313,56.51417,"Travelling","Travelling","blue","blue"
24,43021,"C",-5.46321,56.51409,"Travelling","Travelling","blue","blue"
24,43022,"C",-5.46328,56.51402,"Travelling","Travelling","blue","blue"
24,43023,"C",-5.46337,56.51394,"Travelling","Travelling","blue","blue"
24,43024,"C",-5.46346,56.51387,"Travelling","Travelling","blue","blue"
24,43025,"C",-5.46355,56.5138,"Travelling","Travelling","blue","blue"
24,43026,"C",-5.46364,56.51372,"Travelling","Travelling","blue","blue"
24,43027,"C",-5.46373,56.51364,"Travelling","Travelling","blue","blue"
24,43028,"C",-5.46382,56.51357,"Travelling","Travelling","blue","blue"
24,43029,"C",-5.46392,56.51349,"Travelling","Travelling","blue","blue"
24,43030,"C",-5.46402,56.51341,"Travelling","Travelling","blue","blue"
24,43031,"C",-5.46412,56.51333,"Travelling","Travelling","blue","blue"
24,43032,"C",-5.46422,56.51326,"Travelling","Travelling","blue","blue"
24,43033,"C",-5.46432,56.51318,"Travelling","Travelling","blue","blue"
24,43034,"C",-5.46442,56.5131,"Travelling","Travelling","blue","blue"
24,43035,"C",-5.46452,56.51303,"Travelling","Travelling","blue","blue"
24,43036,"C",-5.46463,56.51296,"Travelling","Travelling","blue","blue"
24,43037,"C",-5.46473,56.51288,"Travelling","Travelling","blue","blue"
24,43038,"C",-5.46486,56.51282,"Travelling","Travelling","blue","blue"
24,43039,"C",-5.46498,56.51275,"Travelling","Travelling","blue","blue"
24,43040,"C",-5.4651,56.51268,"Travelling","Travelling","blue","blue"
24,43041,"C",-5.46524,56.51263,"Travelling","Travelling","blue","blue"
24,43042,"C",-5.46538,56.51257,"Travelling","Travelling","blue","blue"
24,43043,"C",-5.46552,56.51252,"Travelling","Travelling","blue","blue"
24,43044,"C",-5.46565,56.51246,"Travelling","Travelling","blue","blue"
24,43045,"C",-5.46578,56.51241,"Travelling","Travelling","blue","blue"
24,43046,"C",-5.46592,56.51235,"Travelling","Travelling","blue","blue"
24,43047,"C",-5.46604,56.51228,"Travelling","Travelling","blue","blue"
24,43048,"C",-5.46616,56.51222,"Travelling","Travelling","blue","blue"
24,43049,"C",-5.46628,56.51215,"Travelling","Travelling","blue","blue"
24,43050,"C",-5.4664,56.51208,"Travelling","Travelling","blue","blue"
24,43051,"C",-5.46652,56.51202,"Travelling","Travelling","blue","blue"
24,43052,"C",-5.46663,56.51195,"Travelling","Travelling","blue","blue"
24,43053,"C",-5.46673,56.51188,"Travelling","Travelling","blue","blue"
24,43054,"C",-5.46683,56.51181,"Travelling","Travelling","blue","blue"
24,43055,"C",-5.46693,56.51173,"Travelling","Travelling","blue","blue"
24,43056,"C",-5.46701,56.51166,"Travelling","Travelling","blue","blue"
24,43057,"C",-5.46709,56.51159,"Travelling","Travelling","blue","blue"
24,43058,"C",-5.46717,56.51152,"Travelling","Travelling","blue","blue"
24,43059,"C",-5.46724,56.51144,"Travelling","Travelling","blue","blue"
24,43060,"C",-5.46731,56.51136,"Travelling","Travelling","blue","blue"
24,43061,"C",-5.46738,56.51128,"Travelling","Travelling","blue","blue"
24,43062,"C",-5.46746,56.51121,"Travelling","Travelling","blue","blue"
24,43063,"C",-5.46754,56.51113,"Travelling","Travelling","blue","blue"
24,43064,"C",-5.46762,56.51105,"Travelling","Travelling","blue","blue"
24,43065,"C",-5.46769,56.51097,"Travelling","Travelling","blue","blue"
24,43066,"C",-5.46776,56.51089,"Travelling","Travelling","blue","blue"
24,43067,"C",-5.46783,56.51082,"Travelling","Travelling","blue","blue"
24,43068,"C",-5.46787,56.51073,"Travelling","Travelling","blue","blue"
24,43069,"C",-5.46791,56.51065,"Travelling","Travelling","blue","blue"
24,43070,"C",-5.46795,56.51057,"Travelling","Travelling","blue","blue"
24,43071,"C",-5.46797,56.51048,"Travelling","Travelling","blue","blue"
24,43072,"C",-5.46799,56.5104,"Travelling","Travelling","blue","blue"
24,43073,"C",-5.46802,56.51032,"Travelling","Travelling","blue","blue"
24,43074,"C",-5.46805,56.51023,"Travelling","Travelling","blue","blue"
24,43075,"C",-5.46808,56.51015,"Travelling","Travelling","blue","blue"
24,43076,"C",-5.46812,56.51007,"Travelling","Travelling","blue","blue"
24,43077,"C",-5.46817,56.50999,"Travelling","Travelling","blue","blue"
24,43078,"C",-5.46823,56.50991,"Travelling","Travelling","blue","blue"
24,43079,"C",-5.46828,56.50983,"Travelling","Travelling","blue","blue"
24,43080,"C",-5.46837,56.50977,"Travelling","Travelling","blue","blue"
24,43081,"C",-5.46845,56.5097,"Travelling","Travelling","blue","blue"
24,43082,"C",-5.46853,56.50963,"Travelling","Travelling","blue","blue"
24,43083,"C",-5.46865,56.50958,"Travelling","Travelling","blue","blue"
24,43084,"C",-5.46877,56.50953,"Travelling","Travelling","blue","blue"
24,43085,"C",-5.46888,56.50948,"Travelling","Travelling","blue","blue"
24,43086,"C",-5.46901,56.50945,"Travelling","Travelling","blue","blue"
24,43087,"C",-5.46914,56.50942,"Travelling","Travelling","blue","blue"
24,43088,"C",-5.46927,56.50938,"Travelling","Travelling","blue","blue"
24,43089,"C",-5.46941,56.50936,"Travelling","Travelling","blue","blue"
24,43090,"C",-5.46956,56.50934,"Travelling","Travelling","blue","blue"
24,43091,"C",-5.4697,56.50932,"Travelling","Travelling","blue","blue"
