"COLONY","DATE_","ID","SPECIES","TSECS","LATITUDE","LONGITUDE","CONTBEH","observed_state","DISTKM","DIST_COL_K","STAGE","COMPLETE"
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36726,54.83486,-5.77852,"DF","Travelling",0.01275,1.54163,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36727,54.83497,-5.77855,"DF","Travelling",0.01275,1.55364,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36728,54.83508,-5.77858,"DF","Travelling",0.01338,1.56566,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36729,54.83515,-5.77875,"DF","Travelling",0.01338,1.57771,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36730,54.83522,-5.77892,"DF","Travelling",0.01338,1.58978,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36731,54.83529,-5.77909,"DF","Travelling",0.01338,1.60188,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36732,54.83536,-5.77926,"DF","Travelling",0.01338,1.61399,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36733,54.83543,-5.77943,"DF","Travelling",0.01368,1.62613,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36734,54.83548,-5.77963,"DF","Travelling",0.01368,1.63666,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36735,54.83552,-5.77983,"DF","Travelling",0.01368,1.64723,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36736,54.83556,-5.78003,"DF","Travelling",0.01368,1.65785,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36737,54.83561,-5.78023,"DF","Travelling",0.01368,1.66851,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36738,54.83565,-5.78043,"DF","Travelling",0.01365,1.67922,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36739,54.83568,-5.78064,"DF","Travelling",0.01365,1.68892,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36740,54.83571,-5.78085,"DF","Travelling",0.01365,1.69868,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36741,54.83574,-5.78105,"DF","Travelling",0.01365,1.7085,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36742,54.83577,-5.78126,"DF","Travelling",0.01365,1.71836,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36743,54.8358,-5.78147,"DF","Travelling",0.01324,1.72828,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36744,54.83584,-5.78166,"DF","Travelling",0.01324,1.73853,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36745,54.83587,-5.78186,"DF","Travelling",0.01324,1.74881,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36746,54.83591,-5.78206,"DF","Travelling",0.01324,1.75914,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36747,54.83595,-5.78225,"DF","Travelling",0.01324,1.76951,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36748,54.83598,-5.78245,"DF","Travelling",0.01334,1.77991,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36749,54.83604,-5.78264,"DF","Travelling",0.01334,1.79153,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36750,54.83609,-5.78282,"DF","Travelling",0.01334,1.80318,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36751,54.83614,-5.78301,"DF","Travelling",0.01334,1.81485,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36752,54.8362,-5.7832,"DF","Travelling",0.01334,1.82654,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36753,54.83625,-5.78338,"DF","Travelling",0.01314,1.83826,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36754,54.83631,-5.78356,"DF","Travelling",0.01314,1.85042,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36755,54.83638,-5.78373,"DF","Travelling",0.01314,1.86259,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36756,54.83644,-5.7839,"DF","Travelling",0.01314,1.87478,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36757,54.8365,-5.78408,"DF","Travelling",0.01314,1.88698,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36758,54.83657,-5.78425,"DF","Travelling",0.01228,1.8992,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36759,54.83664,-5.78439,"DF","Travelling",0.01228,1.9112,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36760,54.83671,-5.78454,"DF","Travelling",0.01228,1.92321,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36761,54.83679,-5.78468,"DF","Travelling",0.01228,1.93522,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36762,54.83686,-5.78482,"DF","Travelling",0.01228,1.94724,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36763,54.83693,-5.78497,"DF","Travelling",0.01206,1.95926,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36764,54.83702,-5.78508,"DF","Travelling",0.01206,1.97134,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36765,54.83711,-5.78519,"DF","Travelling",0.01206,1.98343,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36766,54.83719,-5.78531,"DF","Travelling",0.01206,1.99552,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36767,54.83728,-5.78542,"DF","Travelling",0.01206,2.00761,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36768,54.83737,-5.78553,"DF","Travelling",0.01262,2.0197,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36769,54.83746,-5.78564,"DF","Travelling",0.01262,2.03231,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36770,54.83756,-5.78574,"DF","Travelling",0.01262,2.04492,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36771,54.83766,-5.78584,"DF","Travelling",0.01262,2.05753,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36772,54.83775,-5.78595,"DF","Travelling",0.01262,2.07014,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36773,54.83785,-5.78605,"DF","Travelling",0.01304,2.08276,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36774,54.83794,-5.78617,"DF","Travelling",0.01304,2.09582,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36775,54.83804,-5.7863,"DF","Travelling",0.01304,2.10889,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36776,54.83813,-5.78642,"DF","Travelling",0.01304,2.12195,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36777,54.83822,-5.78654,"DF","Travelling",0.01304,2.13502,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36778,54.83832,-5.78667,"DF","Travelling",0.0136,2.14809,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36779,54.8384,-5.78682,"DF","Travelling",0.0136,2.16156,"Incubation",0
