"COLONY","DATE","ID","SPECIES","TSECS","LATITUDE","LONGITUDE","CONTBEH","observed_state","DISTKM","DIST2COL","Complete"
"SOUTH SHIAN","2011-06-24",24,"C",43026,56.51372,-5.46364,"TS","Travelling",0.01022,4341.26392,0
"SOUTH SHIAN","2011-06-24",24,"C",43027,56.51364,-5.46373,"TS","Travelling",0.01022,4349.25109,0
"SOUTH SHIAN","2011-06-24",24,"C",43028,56.51357,-5.46382,"TS","Travelling",0.0106,4357.24771,0
"SOUTH SHIAN","2011-06-24",24,"C",43029,56.51349,-5.46392,"TS","Travelling",0.0106,4365.9,0
"SOUTH SHIAN","2011-06-24",24,"C",43030,56.51341,-5.46402,"TS","Travelling",0.0106,4374.561,0
"SOUTH SHIAN","2011-06-24",24,"C",43031,56.51333,-5.46412,"TS","Travelling",0.0106,4383.23067,0
"SOUTH SHIAN","2011-06-24",24,"C",43032,56.51326,-5.46422,"TS","Travelling",0.0106,4391.90897,0
"SOUTH SHIAN","2011-06-24",24,"C",43033,56.51318,-5.46432,"TS","Travelling",0.0106,4400.59582,0
"SOUTH SHIAN","2011-06-24",24,"C",43034,56.5131,-5.46442,"TS","Travelling",0.01032,4409.2912,0
"SOUTH SHIAN","2011-06-24",24,"C",43035,56.51303,-5.46452,"TS","Travelling",0.01032,4418.10948,0
"SOUTH SHIAN","2011-06-24",24,"C",43036,56.51296,-5.46463,"TS","Travelling",0.01032,4426.93437,0
"SOUTH SHIAN","2011-06-24",24,"C",43037,56.51288,-5.46473,"TS","Travelling",0.01054,4435.76584,0
"SOUTH SHIAN","2011-06-24",24,"C",43038,56.51282,-5.46486,"TS","Travelling",0.01054,4445.35943,0
"SOUTH SHIAN","2011-06-24",24,"C",43039,56.51275,-5.46498,"TS","Travelling",0.01054,4454.95747,0
"SOUTH SHIAN","2011-06-24",24,"C",43040,56.51268,-5.4651,"TS","Travelling",0.01052,4464.55992,0
"SOUTH SHIAN","2011-06-24",24,"C",43041,56.51263,-5.46524,"TS","Travelling",0.01052,4474.70853,0
"SOUTH SHIAN","2011-06-24",24,"C",43042,56.51257,-5.46538,"TS","Travelling",0.01052,4484.85903,0
"SOUTH SHIAN","2011-06-24",24,"C",43043,56.51252,-5.46552,"TS","Travelling",0.01025,4495.0114,0
"SOUTH SHIAN","2011-06-24",24,"C",43044,56.51246,-5.46565,"TS","Travelling",0.01025,4504.84438,0
"SOUTH SHIAN","2011-06-24",24,"C",43045,56.51241,-5.46578,"TS","Travelling",0.01025,4514.67935,0
"SOUTH SHIAN","2011-06-24",24,"C",43046,56.51235,-5.46592,"TS","Travelling",0.01054,4524.51633,0
"SOUTH SHIAN","2011-06-24",24,"C",43047,56.51228,-5.46604,"TS","Travelling",0.01054,4534.14047,0
