"DATE","ID","TSECS_GMT","LATITUDE","LONGITUDE","SPECIES","Continuous","DIST2COL","Observed_2State","Observed_3State","Observed_StateTw"
"2009-06-09",2,33881,53.41967,-4.50532,"C","AS",1119.93634,"Foraging","Foraging","Foraging"
"2009-06-09",2,33882,53.41976,-4.5053,"C","AS",1129.74774,"Foraging","Foraging","Foraging"
"2009-06-09",2,33883,53.41985,-4.50528,"C","AS",1139.5616,"Foraging","Foraging","Foraging"
"2009-06-09",2,33884,53.41994,-4.50527,"C","AS",1149.27696,"Foraging","Foraging","Foraging"
"2009-06-09",2,33885,53.42003,-4.50526,"C","AS",1158.99576,"Foraging","Foraging","Foraging"
"2009-06-09",2,33886,53.42012,-4.50525,"C","AS",1168.71792,"Foraging","Foraging","Foraging"
"2009-06-09",2,33887,53.42021,-4.50524,"C","AS",1178.44337,"Foraging","Foraging","Foraging"
"2009-06-09",2,33888,53.42029,-4.50523,"C","AS",1188.17201,"Foraging","Foraging","Foraging"
"2009-06-09",2,33889,53.42038,-4.50522,"C","AS",1197.90377,"Foraging","Foraging","Foraging"
"2009-06-09",2,33890,53.42048,-4.50521,"C","AS",1208.13771,"Foraging","Foraging","Foraging"
"2009-06-09",2,33891,53.42057,-4.50521,"C","AS",1218.37645,"Foraging","Foraging","Foraging"
"2009-06-09",2,33892,53.42067,-4.5052,"C","AS",1228.61988,"Foraging","Foraging","Foraging"
"2009-06-09",2,33893,53.42076,-4.5052,"C","AS",1238.17543,"Foraging","Foraging","Foraging"
"2009-06-09",2,33894,53.42084,-4.5052,"C","AS",1247.73623,"Foraging","Foraging","Foraging"
"2009-06-09",2,33895,53.42093,-4.5052,"C","AS",1257.30213,"Foraging","Foraging","Foraging"
"2009-06-09",2,33896,53.42101,-4.50521,"C","AS",1265.58349,"Foraging","Foraging","Foraging"
"2009-06-09",2,33897,53.42109,-4.50521,"C","AS",1273.86991,"Foraging","Foraging","Foraging"
"2009-06-09",2,33898,53.42117,-4.50522,"C","AS",1282.16131,"Foraging","Foraging","Foraging"
"2009-06-09",2,33899,53.42124,-4.50522,"C","AS",1290.45759,"Foraging","Foraging","Foraging"
"2009-06-09",2,33900,53.42132,-4.50523,"C","AS",1298.75866,"Foraging","Foraging","Foraging"
"2009-06-09",2,33901,53.4214,-4.50523,"C","AS",1307.06442,"Foraging","Foraging","Foraging"
"2009-06-09",2,33902,53.42147,-4.50523,"C","AS",1314.35245,"Foraging","Foraging","Foraging"
"2009-06-09",2,33903,53.42153,-4.50522,"C","AS",1321.64203,"Foraging","Foraging","Foraging"
"2009-06-09",2,33904,53.4216,-4.50522,"C","AS",1328.93315,"Foraging","Foraging","Foraging"
"2009-06-09",2,33905,53.42166,-4.50518,"C","AS",1336.15443,"Foraging","Foraging","Foraging"
"2009-06-09",2,33906,53.42172,-4.50514,"C","AS",1343.3763,"Foraging","Foraging","Foraging"
"2009-06-09",2,33907,53.42178,-4.5051,"C","AS",1350.59873,"Foraging","Foraging","Foraging"
"2009-06-09",2,33908,53.42184,-4.50506,"C","AS",1357.82172,"Foraging","Foraging","Foraging"
"2009-06-09",2,33909,53.42191,-4.50502,"C","AS",1365.04526,"Foraging","Foraging","Foraging"
"2009-06-09",2,33910,53.42197,-4.50498,"C","AS",1372.26936,"Foraging","Foraging","Foraging"
"2009-06-09",2,33911,53.42204,-4.50494,"C","AS",1380.78309,"Foraging","Foraging","Foraging"
"2009-06-09",2,33912,53.42211,-4.50489,"C","AS",1389.29743,"Foraging","Foraging","Foraging"
"2009-06-09",2,33913,53.42218,-4.50485,"C","AS",1397.81235,"Foraging","Foraging","Foraging"
"2009-06-09",2,33914,53.42225,-4.50479,"C","AS",1406.00073,"Foraging","Foraging","Foraging"
"2009-06-09",2,33915,53.42232,-4.50473,"C","AS",1414.19227,"Foraging","Foraging","Foraging"
"2009-06-09",2,33916,53.42238,-4.50467,"C","AS",1422.38694,"Foraging","Foraging","Foraging"
"2009-06-09",2,33917,53.42245,-4.50459,"C","AS",1430.76974,"Foraging","Foraging","Foraging"
"2009-06-09",2,33918,53.42252,-4.50452,"C","AS",1439.15799,"Foraging","Foraging","Foraging"
"2009-06-09",2,33919,53.42258,-4.50445,"C","AS",1447.55155,"Foraging","Foraging","Foraging"
"2009-06-09",2,33920,53.42265,-4.50438,"C","AS",1455.95038,"Foraging","Foraging","Foraging"
"2009-06-09",2,33921,53.42272,-4.50431,"C","AS",1464.35434,"Foraging","Foraging","Foraging"
"2009-06-09",2,33922,53.42278,-4.50423,"C","AS",1472.76336,"Foraging","Foraging","Foraging"
"2009-06-09",2,33923,53.42284,-4.50418,"C","AS",1480.29099,"Foraging","Foraging","Foraging"
"2009-06-09",2,33924,53.42291,-4.50412,"C","AS",1487.82079,"Foraging","Foraging","Foraging"
"2009-06-09",2,33925,53.42297,-4.50407,"C","AS",1495.35271,"Foraging","Foraging","Foraging"
"2009-06-09",2,33926,53.42303,-4.50402,"C","AS",1502.78906,"Foraging","Foraging","Foraging"
"2009-06-09",2,33927,53.42309,-4.50397,"C","AS",1510.22672,"Foraging","Foraging","Foraging"
"2009-06-09",2,33928,53.42315,-4.50392,"C","AS",1517.66568,"Foraging","Foraging","Foraging"
"2009-06-09",2,33929,53.42322,-4.50386,"C","AS",1525.8003,"Foraging","Foraging","Foraging"
"2009-06-09",2,33930,53.42328,-4.50381,"C","AS",1533.93656,"Foraging","Foraging","Foraging"
"2009-06-09",2,33931,53.42335,-4.50375,"C","AS",1542.07442,"Foraging","Foraging","Foraging"
"2009-06-09",2,33932,53.42342,-4.50369,"C","AS",1550.80909,"Foraging","Foraging","Foraging"
"2009-06-09",2,33933,53.42349,-4.50364,"C","AS",1559.545,"Foraging","Foraging","Foraging"
"2009-06-09",2,33934,53.42357,-4.50358,"C","AS",1568.28212,"Foraging","Foraging","Foraging"
"2009-06-09",2,33935,53.42364,-4.50353,"C","AS",1577.51468,"Foraging","Foraging","Foraging"
"2009-06-09",2,33936,53.42372,-4.50348,"C","AS",1586.7477,"Foraging","Foraging","Foraging"
"2009-06-09",2,33937,53.4238,-4.50343,"C","AS",1595.98115,"Foraging","Foraging","Foraging"
"2009-06-09",2,33938,53.42388,-4.50339,"C","AS",1605.11399,"Foraging","Foraging","Foraging"
"2009-06-09",2,33939,53.42396,-4.50334,"C","AS",1614.24697,"Foraging","Foraging","Foraging"
"2009-06-09",2,33940,53.42403,-4.5033,"C","DF",1623.38008,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33941,53.42412,-4.50326,"C","DF",1633.00658,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33942,53.4242,-4.50322,"C","DF",1642.63307,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33943,53.42428,-4.50318,"C","DF",1652.25958,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33944,53.42437,-4.50314,"C","DF",1661.88607,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33945,53.42445,-4.50311,"C","DF",1671.51258,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33946,53.42453,-4.50307,"C","DF",1681.13908,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33947,53.42462,-4.50302,"C","DF",1691.46129,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33948,53.42471,-4.50298,"C","DF",1701.78352,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33949,53.4248,-4.50293,"C","DF",1712.10575,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33950,53.42488,-4.5029,"C","DF",1721.0365,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33951,53.42496,-4.50287,"C","DF",1729.96727,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33952,53.42503,-4.50283,"C","DF",1738.89808,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33953,53.42511,-4.50279,"C","DF",1747.92999,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33954,53.42519,-4.50276,"C","DF",1756.96191,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33955,53.42527,-4.50272,"C","DF",1765.99383,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33956,53.42533,-4.50268,"C","DF",1773.73548,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33957,53.4254,-4.50265,"C","DF",1781.47713,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33958,53.42547,-4.50262,"C","DF",1789.2188,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33959,53.42553,-4.50259,"C","DF",1796.75815,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33960,53.4256,-4.50257,"C","DF",1804.29771,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33961,53.42567,-4.50255,"C","DF",1811.83747,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33962,53.42573,-4.50254,"C","DF",1818.48071,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33963,53.42579,-4.50254,"C","DF",1825.12517,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33964,53.42585,-4.50253,"C","DF",1831.77086,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33965,53.42591,-4.50251,"C","DF",1838.22193,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33966,53.42596,-4.50248,"C","DF",1844.67299,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33967,53.42602,-4.50245,"C","DF",1851.12407,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33968,53.42607,-4.50244,"C","DF",1857.2753,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33969,53.42613,-4.50243,"C","DF",1863.42702,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33970,53.42618,-4.50242,"C","DF",1869.57924,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33971,53.42623,-4.50242,"C","DF",1874.24331,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33972,53.42627,-4.50243,"C","DF",1878.90891,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33973,53.42632,-4.50243,"C","DF",1883.57601,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33974,53.42637,-4.50244,"C","DF",1888.74239,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33975,53.42642,-4.50246,"C","AS",1893.91132,"Foraging","Foraging","Foraging"
"2009-06-09",2,33976,53.42647,-4.50247,"C","AS",1899.08277,"Foraging","Foraging","Foraging"
"2009-06-09",2,33977,53.42652,-4.50249,"C","AS",1904.06309,"Foraging","Foraging","Foraging"
"2009-06-09",2,33978,53.42657,-4.50251,"C","AS",1909.04777,"Foraging","Foraging","Foraging"
"2009-06-09",2,33979,53.42662,-4.50253,"C","AS",1914.03679,"Foraging","Foraging","Foraging"
"2009-06-09",2,33980,53.42667,-4.50256,"C","AS",1919.0301,"Foraging","Foraging","Foraging"
"2009-06-09",2,33981,53.42672,-4.50258,"C","AS",1924.0277,"Foraging","Foraging","Foraging"
"2009-06-09",2,33982,53.42677,-4.5026,"C","AS",1929.02951,"Foraging","Foraging","Foraging"
"2009-06-09",2,33983,53.42681,-4.50261,"C","AS",1933.02684,"Foraging","Foraging","Foraging"
"2009-06-09",2,33984,53.42684,-4.50262,"C","AS",1937.02587,"Foraging","Foraging","Foraging"
"2009-06-09",2,33985,53.42688,-4.50263,"C","AS",1941.02659,"Foraging","Foraging","Foraging"
"2009-06-09",2,33986,53.42693,-4.50264,"C","AS",1945.72014,"Foraging","Foraging","Foraging"
"2009-06-09",2,33987,53.42697,-4.50264,"C","AS",1950.41499,"Foraging","Foraging","Foraging"
"2009-06-09",2,33988,53.42702,-4.50265,"C","AS",1955.11117,"Foraging","Foraging","Foraging"
"2009-06-09",2,33989,53.42707,-4.50266,"C","AS",1960.31554,"Foraging","Foraging","Foraging"
"2009-06-09",2,33990,53.42712,-4.50267,"C","AS",1965.52217,"Foraging","Foraging","Foraging"
"2009-06-09",2,33991,53.42717,-4.50268,"C","AS",1970.73103,"Foraging","Foraging","Foraging"
"2009-06-09",2,33992,53.42721,-4.50269,"C","AS",1975.34282,"Foraging","Foraging","Foraging"
"2009-06-09",2,33993,53.42726,-4.50271,"C","AS",1979.95651,"Foraging","Foraging","Foraging"
"2009-06-09",2,33994,53.4273,-4.50272,"C","AS",1984.57206,"Foraging","Foraging","Foraging"
"2009-06-09",2,33995,53.42736,-4.50272,"C","AS",1991.07827,"Foraging","Foraging","Foraging"
"2009-06-09",2,33996,53.42742,-4.50273,"C","AS",1997.58649,"Foraging","Foraging","Foraging"
"2009-06-09",2,33997,53.42748,-4.50273,"C","AS",2004.09673,"Foraging","Foraging","Foraging"
"2009-06-09",2,33998,53.42754,-4.50274,"C","AS",2009.92024,"Foraging","Foraging","Foraging"
"2009-06-09",2,33999,53.42759,-4.50276,"C","AS",2015.74616,"Foraging","Foraging","Foraging"
"2009-06-09",2,34000,53.42765,-4.50277,"C","AS",2021.57446,"Foraging","Foraging","Foraging"
"2009-06-09",2,34001,53.42771,-4.50278,"C","AS",2027.40513,"Foraging","Foraging","Foraging"
"2009-06-09",2,34002,53.42776,-4.50279,"C","AS",2033.23814,"Foraging","Foraging","Foraging"
"2009-06-09",2,34003,53.42782,-4.5028,"C","AS",2039.07347,"Foraging","Foraging","Foraging"
"2009-06-09",2,34004,53.42787,-4.50281,"C","AS",2044.31,"Foraging","Foraging","Foraging"
"2009-06-09",2,34005,53.42792,-4.50282,"C","AS",2049.54852,"Foraging","Foraging","Foraging"
"2009-06-09",2,34006,53.42797,-4.50283,"C","AS",2054.78901,"Foraging","Foraging","Foraging"
"2009-06-09",2,34007,53.42801,-4.50283,"C","AS",2059.0844,"Foraging","Foraging","Foraging"
"2009-06-09",2,34008,53.42804,-4.50282,"C","AS",2063.37999,"Foraging","Foraging","Foraging"
"2009-06-09",2,34009,53.42808,-4.50282,"C","AS",2067.67578,"Foraging","Foraging","Foraging"
"2009-06-09",2,34010,53.42812,-4.50279,"C","AS",2072.31261,"Foraging","Foraging","Foraging"
"2009-06-09",2,34011,53.42816,-4.50276,"C","AS",2076.94974,"Foraging","Foraging","Foraging"
"2009-06-09",2,34012,53.4282,-4.50273,"C","AS",2081.58718,"Foraging","Foraging","Foraging"
"2009-06-09",2,34013,53.42823,-4.50271,"C","AS",2085.02233,"Foraging","Foraging","Foraging"
"2009-06-09",2,34014,53.42826,-4.50268,"C","AS",2088.45802,"Foraging","Foraging","Foraging"
"2009-06-09",2,34015,53.42828,-4.50265,"C","AS",2091.89428,"Foraging","Foraging","Foraging"
"2009-06-09",2,34016,53.42831,-4.50262,"C","AS",2094.73003,"Foraging","Foraging","Foraging"
"2009-06-09",2,34017,53.42833,-4.50259,"C","AS",2097.56648,"Foraging","Foraging","Foraging"
"2009-06-09",2,34018,53.42835,-4.50257,"C","AS",2100.40363,"Foraging","Foraging","Foraging"
"2009-06-09",2,34019,53.42838,-4.50253,"C","AS",2104.01637,"Foraging","Foraging","Foraging"
