"ID","TSECS_BST","observedState","decodedState"
1,48268,"Not-foraging","Not-foraging"
1,48269,"Not-foraging","Not-foraging"
1,48270,"Not-foraging","Not-foraging"
1,48271,"Not-foraging","Not-foraging"
1,48272,"Not-foraging","Not-foraging"
1,48273,"Not-foraging","Not-foraging"
1,48274,"Not-foraging","Not-foraging"
1,48275,"Not-foraging","Not-foraging"
1,48276,"Not-foraging","Not-foraging"
1,48277,"Not-foraging","Not-foraging"
1,48278,"Not-foraging","Not-foraging"
1,48279,"Not-foraging","Not-foraging"
1,48280,"Not-foraging","Not-foraging"
1,48281,"Not-foraging","Not-foraging"
1,48282,"Not-foraging","Not-foraging"
1,48283,"Not-foraging","Not-foraging"
1,48284,"Not-foraging","Not-foraging"
1,48285,"Not-foraging","Not-foraging"
1,48286,"Not-foraging","Not-foraging"
1,48287,"Not-foraging","Not-foraging"
1,48288,"Not-foraging","Not-foraging"
1,48289,"Not-foraging","Not-foraging"
1,48290,"Not-foraging","Not-foraging"
1,48291,"Not-foraging","Not-foraging"
1,48292,"Not-foraging","Not-foraging"
1,48293,"Not-foraging","Not-foraging"
1,48294,"Not-foraging","Not-foraging"
1,48295,"Not-foraging","Not-foraging"
1,48296,"Not-foraging","Not-foraging"
1,48297,"Not-foraging","Not-foraging"
1,48298,"Not-foraging","Not-foraging"
1,48299,"Not-foraging","Not-foraging"
1,48300,"Not-foraging","Not-foraging"
1,48301,"Not-foraging","Not-foraging"
1,48302,"Not-foraging","Not-foraging"
1,48303,"Not-foraging","Not-foraging"
1,48304,"Not-foraging","Not-foraging"
1,48305,"Not-foraging","Not-foraging"
1,48306,"Not-foraging","Not-foraging"
1,48307,"Not-foraging","Not-foraging"
1,48308,"Not-foraging","Not-foraging"
1,48309,"Not-foraging","Not-foraging"
1,48310,"Not-foraging","Not-foraging"
1,48311,"Not-foraging","Not-foraging"
1,48312,"Not-foraging","Not-foraging"
1,48313,"Not-foraging","Not-foraging"
1,48314,"Not-foraging","Not-foraging"
1,48315,"Not-foraging","Not-foraging"
1,48316,"Not-foraging","Not-foraging"
1,48317,"Not-foraging","Not-foraging"
1,48318,"Not-foraging","Not-foraging"
1,48319,"Not-foraging","Not-foraging"
1,48320,"Not-foraging","Not-foraging"
1,48321,"Not-foraging","Not-foraging"
1,48322,"Not-foraging","Not-foraging"
1,48323,"Not-foraging","Foraging"
1,48324,"Not-foraging","Foraging"
1,48325,"Not-foraging","Foraging"
1,48326,"Not-foraging","Foraging"
1,48327,"Not-foraging","Foraging"
1,48328,"Not-foraging","Foraging"
1,48329,"Not-foraging","Foraging"
1,48330,"Not-foraging","Foraging"
1,48331,"Not-foraging","Foraging"
1,48332,"Not-foraging","Foraging"
1,48333,"Not-foraging","Foraging"
1,48334,"Not-foraging","Foraging"
1,48335,"Not-foraging","Foraging"
1,48336,"Not-foraging","Foraging"
1,48337,"Not-foraging","Foraging"
1,48338,"Not-foraging","Foraging"
1,48339,"Not-foraging","Not-foraging"
1,48340,"Not-foraging","Not-foraging"
1,48341,"Not-foraging","Not-foraging"
1,48342,"Not-foraging","Not-foraging"
1,48343,"Not-foraging","Not-foraging"
1,48344,"Not-foraging","Not-foraging"
1,48345,"Not-foraging","Not-foraging"
1,48346,"Not-foraging","Not-foraging"
1,48347,"Not-foraging","Not-foraging"
1,48348,"Not-foraging","Not-foraging"
1,48349,"Not-foraging","Not-foraging"
1,48350,"Not-foraging","Not-foraging"
1,48351,"Not-foraging","Not-foraging"
1,48352,"Not-foraging","Not-foraging"
1,48353,"Not-foraging","Not-foraging"
1,48354,"Not-foraging","Not-foraging"
1,48355,"Not-foraging","Not-foraging"
1,48356,"Not-foraging","Not-foraging"
1,48357,"Not-foraging","Not-foraging"
1,48358,"Not-foraging","Not-foraging"
1,48359,"Not-foraging","Not-foraging"
1,48360,"Not-foraging","Not-foraging"
1,48361,"Not-foraging","Not-foraging"
1,48362,"Not-foraging","Not-foraging"
1,48363,"Not-foraging","Not-foraging"
1,48364,"Not-foraging","Not-foraging"
1,48365,"Not-foraging","Not-foraging"
1,48366,"Not-foraging","Not-foraging"
1,48367,"Not-foraging","Not-foraging"
1,48368,"Not-foraging","Not-foraging"
1,48369,"Not-foraging","Not-foraging"
1,48370,"Not-foraging","Not-foraging"
1,48371,"Not-foraging","Not-foraging"
1,48372,"Not-foraging","Not-foraging"
1,48373,"Not-foraging","Not-foraging"
