"COLONY","ID","SPECIES","STAGE","TSECS","observedState","decodedState"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36808,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36809,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36810,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36811,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36812,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36813,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36814,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36815,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36816,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36817,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36818,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36819,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36820,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36821,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36822,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36823,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36824,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36825,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36826,"Not-foraging","Not-foraging"
