"ID","SPECIES","TSECS_GMT","observedState","decodedState"
6,"A",46526,"Foraging","Foraging"
6,"A",46527,"Foraging","Foraging"
6,"A",46528,"Foraging","Foraging"
6,"A",46529,"Foraging","Foraging"
6,"A",46530,"Foraging","Foraging"
6,"A",46531,"Foraging","Foraging"
6,"A",46532,"Foraging","Foraging"
6,"A",46533,"Foraging","Foraging"
6,"A",46534,"Foraging","Foraging"
6,"A",46535,"Foraging","Foraging"
6,"A",46536,"Foraging","Foraging"
6,"A",46537,"Foraging","Foraging"
6,"A",46538,"Foraging","Foraging"
6,"A",46539,"Foraging","Foraging"
6,"A",46540,"Foraging","Foraging"
6,"A",46541,"Foraging","Foraging"
6,"A",46542,"Foraging","Foraging"
6,"A",46543,"Foraging","Foraging"
6,"A",46544,"Foraging","Foraging"
6,"A",46545,"Foraging","Not-foraging"
6,"A",46546,"Foraging","Not-foraging"
6,"A",46547,"Foraging","Not-foraging"
6,"A",46548,"Foraging","Not-foraging"
6,"A",46549,"Foraging","Not-foraging"
6,"A",46550,"Foraging","Not-foraging"
6,"A",46551,"Foraging","Not-foraging"
6,"A",46552,"Foraging","Not-foraging"
6,"A",46553,"Foraging","Not-foraging"
6,"A",46554,"Foraging","Not-foraging"
6,"A",46555,"Foraging","Not-foraging"
6,"A",46556,"Foraging","Not-foraging"
6,"A",46557,"Foraging","Not-foraging"
6,"A",46558,"Foraging","Not-foraging"
6,"A",46559,"Foraging","Not-foraging"
6,"A",46560,"Foraging","Not-foraging"
6,"A",46561,"Foraging","Not-foraging"
6,"A",46562,"Foraging","Not-foraging"
6,"A",46563,"Foraging","Not-foraging"
6,"A",46564,"Foraging","Not-foraging"
6,"A",46565,"Foraging","Not-foraging"
6,"A",46566,"Foraging","Not-foraging"
6,"A",46567,"Foraging","Not-foraging"
6,"A",46568,"Foraging","Not-foraging"
6,"A",46569,"Foraging","Not-foraging"
6,"A",46570,"Foraging","Not-foraging"
6,"A",46571,"Foraging","Not-foraging"
6,"A",46572,"Foraging","Not-foraging"
6,"A",46573,"Foraging","Not-foraging"
6,"A",46574,"Foraging","Not-foraging"
6,"A",46575,"Foraging","Not-foraging"
6,"A",46576,"Foraging","Not-foraging"
6,"A",46577,"Foraging","Not-foraging"
6,"A",46578,"Foraging","Not-foraging"
6,"A",46579,"Foraging","Not-foraging"
6,"A",46580,"Foraging","Not-foraging"
6,"A",46581,"Foraging","Not-foraging"
6,"A",46582,"Foraging","Not-foraging"
6,"A",46583,"Foraging","Not-foraging"
6,"A",46584,"Foraging","Not-foraging"
6,"A",46585,"Foraging","Not-foraging"
6,"A",46586,"Foraging","Not-foraging"
6,"A",46587,"Foraging","Not-foraging"
6,"A",46588,"Foraging","Foraging"
6,"A",46589,"Foraging","Foraging"
6,"A",46590,"Foraging","Foraging"
6,"A",46591,"Foraging","Foraging"
6,"A",46592,"Foraging","Foraging"
6,"A",46593,"Foraging","Foraging"
6,"A",46594,"Foraging","Foraging"
6,"A",46595,"Foraging","Foraging"
6,"A",46596,"Foraging","Foraging"
6,"A",46597,"Foraging","Foraging"
6,"A",46598,"Foraging","Foraging"
6,"A",46599,"Foraging","Foraging"
6,"A",46600,"Foraging","Foraging"
6,"A",46601,"Foraging","Foraging"
6,"A",46602,"Foraging","Foraging"
6,"A",46603,"Foraging","Foraging"
6,"A",46604,"Foraging","Foraging"
6,"A",46605,"Foraging","Foraging"
