"ID","SPECIES","STAGE","TSECS","observedState","decodedState"
23,"Sandwich","Chick",33227,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33228,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33229,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33230,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33231,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33232,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33233,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33234,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33235,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33236,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33237,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33238,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33239,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33240,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33241,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33242,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33243,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33244,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33245,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33246,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33247,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33248,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33249,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33250,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33251,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33252,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33253,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33254,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33255,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33256,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33257,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33258,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33259,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33260,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33261,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33262,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33263,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33264,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33265,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33266,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33267,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33268,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33269,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33270,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33271,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33272,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33273,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33274,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33275,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33276,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33277,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33278,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33279,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33280,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33281,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33282,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33283,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33284,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33285,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33286,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33287,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33288,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33289,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33290,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33291,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33292,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33293,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33294,"Not-foraging","Not-foraging"
