"ID","SPECIES","BSTTSECS","observedState","decodedState"
2,"Sandwich",36277,"Not-foraging","Not-foraging"
2,"Sandwich",36278,"Not-foraging","Not-foraging"
2,"Sandwich",36279,"Not-foraging","Not-foraging"
2,"Sandwich",36280,"Not-foraging","Not-foraging"
2,"Sandwich",36281,"Not-foraging","Not-foraging"
2,"Sandwich",36282,"Not-foraging","Not-foraging"
2,"Sandwich",36283,"Not-foraging","Not-foraging"
2,"Sandwich",36284,"Not-foraging","Not-foraging"
2,"Sandwich",36285,"Not-foraging","Not-foraging"
2,"Sandwich",36286,"Not-foraging","Not-foraging"
2,"Sandwich",36287,"Not-foraging","Not-foraging"
2,"Sandwich",36288,"Not-foraging","Not-foraging"
2,"Sandwich",36289,"Not-foraging","Not-foraging"
2,"Sandwich",36290,"Not-foraging","Not-foraging"
2,"Sandwich",36291,"Not-foraging","Not-foraging"
2,"Sandwich",36292,"Not-foraging","Not-foraging"
2,"Sandwich",36293,"Not-foraging","Not-foraging"
2,"Sandwich",36294,"Not-foraging","Not-foraging"
2,"Sandwich",36295,"Not-foraging","Not-foraging"
2,"Sandwich",36296,"Not-foraging","Foraging"
2,"Sandwich",36297,"Not-foraging","Not-foraging"
2,"Sandwich",36298,"Not-foraging","Not-foraging"
2,"Sandwich",36299,"Not-foraging","Not-foraging"
2,"Sandwich",36300,"Not-foraging","Not-foraging"
2,"Sandwich",36301,"Not-foraging","Not-foraging"
2,"Sandwich",36302,"Not-foraging","Not-foraging"
2,"Sandwich",36303,"Not-foraging","Not-foraging"
2,"Sandwich",36304,"Not-foraging","Not-foraging"
2,"Sandwich",36305,"Not-foraging","Not-foraging"
2,"Sandwich",36306,"Not-foraging","Not-foraging"
2,"Sandwich",36307,"Not-foraging","Not-foraging"
2,"Sandwich",36308,"Not-foraging","Not-foraging"
2,"Sandwich",36309,"Not-foraging","Not-foraging"
2,"Sandwich",36310,"Not-foraging","Not-foraging"
2,"Sandwich",36311,"Not-foraging","Not-foraging"
2,"Sandwich",36312,"Not-foraging","Not-foraging"
2,"Sandwich",36313,"Not-foraging","Not-foraging"
2,"Sandwich",36314,"Not-foraging","Not-foraging"
2,"Sandwich",36315,"Not-foraging","Not-foraging"
2,"Sandwich",36316,"Not-foraging","Not-foraging"
2,"Sandwich",36317,"Not-foraging","Not-foraging"
2,"Sandwich",36318,"Not-foraging","Not-foraging"
2,"Sandwich",36319,"Not-foraging","Not-foraging"
2,"Sandwich",36320,"Not-foraging","Not-foraging"
2,"Sandwich",36321,"Not-foraging","Not-foraging"
