"ID","SPECIES","TSECS_GMT","observedState","decodedState"
2,"C",34213,"Foraging","Foraging"
2,"C",34214,"Foraging","Foraging"
2,"C",34215,"Foraging","Foraging"
2,"C",34216,"Foraging","Foraging"
2,"C",34217,"Foraging","Foraging"
2,"C",34218,"Foraging","Foraging"
2,"C",34219,"Foraging","Foraging"
2,"C",34220,"Foraging","Foraging"
2,"C",34221,"Foraging","Foraging"
2,"C",34222,"Foraging","Foraging"
2,"C",34223,"Foraging","Foraging"
2,"C",34224,"Foraging","Foraging"
2,"C",34225,"Foraging","Foraging"
2,"C",34226,"Foraging","Foraging"
2,"C",34227,"Foraging","Foraging"
2,"C",34228,"Foraging","Foraging"
2,"C",34229,"Foraging","Foraging"
2,"C",34230,"Foraging","Foraging"
2,"C",34231,"Foraging","Foraging"
2,"C",34232,"Foraging","Foraging"
2,"C",34233,"Foraging","Foraging"
2,"C",34234,"Foraging","Foraging"
2,"C",34235,"Foraging","Foraging"
2,"C",34236,"Foraging","Foraging"
2,"C",34237,"Foraging","Foraging"
2,"C",34238,"Foraging","Foraging"
2,"C",34239,"Foraging","Foraging"
2,"C",34240,"Foraging","Foraging"
2,"C",34241,"Foraging","Foraging"
2,"C",34242,"Foraging","Foraging"
2,"C",34243,"Foraging","Foraging"
2,"C",34244,"Foraging","Foraging"
2,"C",34245,"Foraging","Foraging"
2,"C",34246,"Foraging","Foraging"
2,"C",34247,"Foraging","Foraging"
2,"C",34248,"Foraging","Foraging"
2,"C",34249,"Foraging","Foraging"
2,"C",34250,"Foraging","Foraging"
2,"C",34251,"Foraging","Foraging"
2,"C",34252,"Foraging","Foraging"
2,"C",34253,"Foraging","Foraging"
2,"C",34254,"Foraging","Foraging"
2,"C",34255,"Foraging","Foraging"
2,"C",34256,"Foraging","Foraging"
2,"C",34257,"Foraging","Foraging"
2,"C",34258,"Foraging","Foraging"
2,"C",34259,"Foraging","Foraging"
2,"C",34260,"Foraging","Foraging"
2,"C",34261,"Foraging","Foraging"
2,"C",34262,"Foraging","Foraging"
2,"C",34263,"Foraging","Foraging"
2,"C",34264,"Foraging","Foraging"
2,"C",34265,"Foraging","Foraging"
2,"C",34266,"Foraging","Foraging"
2,"C",34267,"Foraging","Foraging"
2,"C",34268,"Foraging","Foraging"
2,"C",34269,"Foraging","Foraging"
2,"C",34270,"Foraging","Foraging"
2,"C",34271,"Foraging","Foraging"
2,"C",34272,"Foraging","Foraging"
2,"C",34273,"Foraging","Foraging"
2,"C",34274,"Foraging","Foraging"
2,"C",34275,"Foraging","Foraging"
2,"C",34276,"Foraging","Foraging"
2,"C",34277,"Foraging","Foraging"
2,"C",34278,"Foraging","Foraging"
2,"C",34279,"Foraging","Foraging"
2,"C",34280,"Foraging","Foraging"
2,"C",34281,"Foraging","Foraging"
2,"C",34282,"Foraging","Foraging"
2,"C",34283,"Foraging","Foraging"
2,"C",34284,"Foraging","Foraging"
2,"C",34285,"Foraging","Foraging"
2,"C",34286,"Foraging","Foraging"
2,"C",34287,"Foraging","Foraging"
2,"C",34288,"Foraging","Foraging"
2,"C",34289,"Foraging","Foraging"
2,"C",34290,"Foraging","Foraging"
2,"C",34291,"Foraging","Foraging"
2,"C",34292,"Foraging","Foraging"
2,"C",34293,"Foraging","Foraging"
2,"C",34294,"Foraging","Foraging"
2,"C",34295,"Foraging","Foraging"
2,"C",34296,"Foraging","Foraging"
2,"C",34297,"Foraging","Foraging"
2,"C",34298,"Foraging","Foraging"
2,"C",34299,"Foraging","Foraging"
2,"C",34300,"Foraging","Foraging"
2,"C",34301,"Foraging","Foraging"
2,"C",34302,"Foraging","Foraging"
2,"C",34303,"Foraging","Foraging"
2,"C",34304,"Foraging","Foraging"
2,"C",34305,"Foraging","Foraging"
2,"C",34306,"Foraging","Foraging"
2,"C",34307,"Foraging","Foraging"
2,"C",34308,"Foraging","Foraging"
2,"C",34309,"Foraging","Foraging"
2,"C",34310,"Foraging","Foraging"
2,"C",34311,"Foraging","Foraging"
2,"C",34312,"Foraging","Foraging"
2,"C",34313,"Foraging","Foraging"
2,"C",34314,"Foraging","Foraging"
2,"C",34315,"Foraging","Foraging"
2,"C",34316,"Foraging","Foraging"
2,"C",34317,"Foraging","Foraging"
2,"C",34318,"Foraging","Foraging"
2,"C",34319,"Foraging","Foraging"
2,"C",34320,"Foraging","Foraging"
2,"C",34321,"Foraging","Foraging"
2,"C",34322,"Foraging","Foraging"
2,"C",34323,"Foraging","Foraging"
2,"C",34324,"Foraging","Foraging"
2,"C",34325,"Foraging","Foraging"
2,"C",34326,"Foraging","Foraging"
2,"C",34327,"Foraging","Foraging"
2,"C",34328,"Foraging","Foraging"
2,"C",34329,"Foraging","Foraging"
2,"C",34330,"Foraging","Foraging"
2,"C",34331,"Foraging","Foraging"
2,"C",34332,"Foraging","Foraging"
2,"C",34333,"Foraging","Foraging"
2,"C",34334,"Foraging","Foraging"
2,"C",34335,"Foraging","Not-foraging"
2,"C",34336,"Foraging","Not-foraging"
2,"C",34337,"Foraging","Not-foraging"
2,"C",34338,"Foraging","Not-foraging"
2,"C",34339,"Foraging","Foraging"
2,"C",34340,"Foraging","Foraging"
2,"C",34341,"Foraging","Foraging"
2,"C",34342,"Foraging","Foraging"
