"COLONY","ID","SPECIES","TSECS","observedState","decodedState"
"Glas Eileanan",2,"C",39917,"Foraging","Not-foraging"
"Glas Eileanan",2,"C",39918,"Foraging","Not-foraging"
"Glas Eileanan",2,"C",39919,"Foraging","Not-foraging"
"Glas Eileanan",2,"C",39920,"Foraging","Not-foraging"
"Glas Eileanan",2,"C",39921,"Foraging","Not-foraging"
"Glas Eileanan",2,"C",39922,"Foraging","Not-foraging"
"Glas Eileanan",2,"C",39923,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39924,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39925,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39926,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39927,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39928,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39929,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39930,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39931,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39932,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39933,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39934,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39935,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39936,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39937,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39938,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39939,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39940,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39941,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39942,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39943,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39944,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39945,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39946,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39947,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39948,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39949,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39950,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39951,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39952,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39953,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39954,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39955,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39956,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39957,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39958,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39959,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39960,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39961,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39962,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39963,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39964,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39965,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39966,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39967,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39968,"Foraging","Not-foraging"
